rank,name,origin,frequency
1,Maria,flemish,70427
2,Marc,flemish,41488
3,Marie,flemish,38398
4,Luc,flemish,36803
5,Jan,flemish,35881
6,Patrick,flemish,32632
7,Peter,flemish,30382
8,Dirk,flemish,30171
9,Johan,flemish,28694
10,Rita,flemish,28290
11,Bart,flemish,28273
12,Tom,flemish,24485
13,Ann,flemish,24408
14,Martine,flemish,22982
15,Paul,flemish,22340
16,Marleen,flemish,21946
17,Jean,flemish,20869
18,Geert,flemish,20678
19,Anna,flemish,19960
20,Monique,flemish,19864
21,Willy,flemish,19063
22,Jozef,flemish,18650
23,Thomas,flemish,18021
24,Wim,flemish,17653
25,Hilde,flemish,17594
26,Linda,flemish,17561
27,David,flemish,17352
28,Els,flemish,17157
29,Ingrid,flemish,17098
30,Sofie,flemish,16864
31,Nicole,flemish,16464
32,Nathalie,flemish,16432
33,Steven,flemish,16237
34,Kevin,flemish,16101
35,Godelieve,flemish,16073
36,Christiane,flemish,15722
37,Eddy,flemish,15600
38,Nancy,flemish,15542
39,Katrien,flemish,15391
40,Carine,flemish,15282
41,Koen,flemish,14902
42,Eric,flemish,14835
43,Julie,flemish,14333
44,Pieter,flemish,14224
45,Christine,flemish,14143
46,Laura,flemish,14061
47,Frank,flemish,14010
48,Anne,flemish,13873
49,André,flemish,13863
50,Roger,flemish,13640
51,Danny,flemish,13637
52,Charlotte,flemish,13064
53,Annie,flemish,13036
54,Stijn,flemish,12963
55,Louis,flemish,12773
56,Michel,flemish,12732
57,Robert,flemish,12492
58,Sandra,flemish,12406
59,Filip,flemish,12336
60,Emma,flemish,12283
61,Guido,flemish,12229
62,Marcel,flemish,12098
63,Veerle,flemish,11917
64,Daniel,flemish,11811
65,Inge,flemish,11672
66,Caroline,flemish,11625
67,Kristof,flemish,11516
68,Tim,flemish,11441
69,Ellen,flemish,11430
70,Patricia,flemish,11401
71,Cindy,flemish,11382
72,Erik,flemish,11248
73,Ilse,flemish,11196
74,Kris,flemish,11115
75,Guy,flemish,11057
76,Wendy,flemish,10930
77,Jonas,flemish,10861
78,Kurt,flemish,10542
79,Philippe,flemish,10508
80,Christel,flemish,10468
81,Jeroen,flemish,10388
82,Joseph,flemish,10345
83,Jeannine,flemish,10187
84,Liliane,flemish,10018
85,Nadine,flemish,9957
86,Ronny,flemish,9791
87,Sabine,flemish,9698
88,Freddy,flemish,9696
89,An,flemish,9680
90,Alexander,flemish,9637
91,Lucas,flemish,9602
92,Marina,flemish,9575
93,Kim,flemish,9539
94,Hans,flemish,9448
95,Christophe,flemish,9394
96,Sven,flemish,9393
97,Jacqueline,flemish,9134
98,Kelly,flemish,9106
99,Isabelle,flemish,9095
100,Frans,flemish,9041
101,Chantal,flemish,9031
102,Maarten,flemish,8983
103,Yves,flemish,8936
104,Lotte,flemish,8922
105,Sonja,flemish,8861
106,Anita,flemish,8827
107,Victor,flemish,8824
108,Arthur,flemish,8823
109,Louise,flemish,8813
110,Heidi,flemish,8784
111,Walter,flemish,8760
112,Greta,flemish,8749
113,Nele,flemish,8728
114,Annick,flemish,8691
115,Robin,flemish,8685
116,Anja,flemish,8669
117,Myriam,flemish,8646
118,Stefan,flemish,8636
119,Wouter,flemish,8614
120,Bram,flemish,8612
121,Brigitte,flemish,8610
122,Ruben,flemish,8589
123,Bert,flemish,8586
124,Elise,flemish,8575
125,Lisa,flemish,8567
126,Kathleen,flemish,8513
127,François,flemish,8511
128,Eva,flemish,8487
129,Annelies,flemish,8420
130,Niels,flemish,8395
131,Nick,flemish,8323
132,Pascal,flemish,8321
133,Rudi,flemish,8274
134,Jens,flemish,8241
135,Elke,flemish,8240
136,Simon,flemish,8194
137,Elisabeth,flemish,8185
138,Herman,flemish,8170
139,Stefaan,flemish,8093
140,Rudy,flemish,8091
141,Vincent,flemish,8068
142,Sophie,flemish,8046
143,Hanne,flemish,8013
144,Jolien,flemish,7999
145,Lore,flemish,7969
146,Alain,flemish,7946
147,Sam,flemish,7918
148,Noah,flemish,7783
149,Karel,flemish,7737
150,Marijke,flemish,7736
151,Olivier,flemish,7720
152,Amber,flemish,7678
153,Eline,flemish,7652
154,Hugo,flemish,7640
155,Davy,flemish,7549
156,Magda,flemish,7540
157,Dries,flemish,7498
158,Henri,flemish,7470
159,Pierre,flemish,7432
160,Gerda,flemish,7387
161,Paula,flemish,7293
162,Nico,flemish,7273
163,Viviane,flemish,7129
164,Robbe,flemish,7110
165,Joris,flemish,7097
166,Nicolas,flemish,7088
167,Mario,flemish,7033
168,Frederik,flemish,7011
169,René,flemish,6976
170,Michael,flemish,6969
171,Denise,flemish,6958
172,Lars,flemish,6913
173,Hilda,flemish,6906
174,Ivan,flemish,6837
175,Jelle,flemish,6825
176,Georges,flemish,6795
177,Liam,flemish,6791
178,Jules,flemish,6772
179,Helena,flemish,6772
180,Matthias,flemish,6760
181,Wout,flemish,6718
182,Bruno,flemish,6691
183,Leon,flemish,6681
184,Agnes,flemish,6635
185,Jacques,flemish,6629
186,Karen,flemish,6607
187,Lien,flemish,6594
188,Michiel,flemish,6546
189,Andy,flemish,6484
190,Lena,flemish,6462
191,Liesbeth,flemish,6449
192,Vanessa,flemish,6447
193,Francine,flemish,6433
194,Elena,flemish,6409
195,Melissa,flemish,6389
196,Glenn,flemish,6380
197,Leen,flemish,6377
198,Mathias,flemish,6349
199,Jasper,flemish,6346
200,Milan,flemish,6330
201,Arne,flemish,6325
202,Vera,flemish,6297
203,Mieke,flemish,6294
204,Dieter,flemish,6287
205,Ella,flemish,6285
206,Christian,flemish,6250
207,Karin,flemish,6222
208,Seppe,flemish,6207
209,Daan,flemish,6198
210,Hendrik,flemish,6193
211,Stefanie,flemish,6147
212,Rosa,flemish,6124
213,Willem,flemish,6113
214,Jana,flemish,6104
215,Stephanie,flemish,6081
216,Albert,flemish,6078
217,Noor,flemish,6072
218,Erwin,flemish,6059
219,Emiel,flemish,6052
220,Gert,flemish,6020
221,Adam,flemish,6009
222,Olivia,flemish,5981
223,Roland,flemish,5958
224,Diana,flemish,5918
225,Nina,flemish,5913
226,Etienne,flemish,5877
227,Dimitri,flemish,5875
228,Sander,flemish,5871
229,Fien,flemish,5779
230,Kobe,flemish,5755
231,Jurgen,flemish,5696
232,Petra,flemish,5622
233,Julien,flemish,5611
234,Maxim,flemish,5596
235,Femke,flemish,5549
236,Joke,flemish,5530
237,Anne-Marie,flemish,5495
238,Benjamin,flemish,5469
239,Julia,flemish,5454
240,Jonathan,flemish,5436
241,Gilbert,flemish,5425
242,Maurice,flemish,5415
243,Jenny,flemish,5390
244,Kristel,flemish,5365
245,Senne,flemish,5355
246,Lutgarde,flemish,5344
247,Nora,flemish,5324
248,Marianne,flemish,5324
249,Michaël,flemish,5268
250,Rik,flemish,5262
251,Alice,flemish,5236
252,Chris,flemish,5211
253,Benny,flemish,5201
254,Daniël,flemish,5182
255,Diane,flemish,5180
256,Steve,flemish,5160
257,Nathan,flemish,5155
258,Philip,flemish,5151
259,Elias,flemish,5121
260,Alex,flemish,5098
261,Ludo,flemish,5088
262,Juliette,flemish,5026
263,Werner,flemish,5020
264,Luna,flemish,5019
265,Lina,flemish,5015
266,Evelien,flemish,4996
267,Alfons,flemish,4994
268,Lieve,flemish,4994
269,Simonne,flemish,4969
270,Mathieu,flemish,4953
271,Mariette,flemish,4952
272,Leo,flemish,4943
273,Ben,flemish,4923
274,Peggy,flemish,4919
275,Pascale,flemish,4908
276,Lea,flemish,4901
277,Christiaan,flemish,4892
278,Jessica,flemish,4834
279,Lisette,flemish,4832
280,Mathis,flemish,4805
281,Dominique,flemish,4777
282,Véronique,flemish,4764
283,Kenny,flemish,4755
284,Mia,flemish,4755
285,Tine,flemish,4750
286,Veronique,flemish,4714
287,Silke,flemish,4701
288,Francis,flemish,4656
289,Mila,flemish,4622
290,Sonia,flemish,4620
291,Yannick,flemish,4613
292,Anny,flemish,4608
293,Martin,flemish,4594
294,Amélie,flemish,4526
295,Thierry,flemish,4505
296,Magdalena,flemish,4501
297,Vicky,flemish,4501
298,Lydia,flemish,4497
299,Zoë,flemish,4497
300,Sylvie,flemish,4474
301,Sabrina,flemish,4466
302,Didier,flemish,4439
303,Finn,flemish,4438
304,Wilfried,flemish,4432
305,Ria,flemish,4426
306,William,flemish,4425
307,Franky,flemish,4419
308,Tamara,flemish,4385
309,Ronald,flemish,4347
310,Barbara,flemish,4341
311,Matteo,flemish,4319
312,John,flemish,4319
313,Gilles,flemish,4310
314,Lucien,flemish,4277
315,Joeri,flemish,4241
316,Joanna,flemish,4232
317,Fleur,flemish,4228
318,Stan,flemish,4219
319,Iris,flemish,4198
320,Lieven,flemish,4169
321,Bernard,flemish,4145
322,Arlette,flemish,4116
323,Gino,flemish,4102
324,Astrid,flemish,4060
325,Manon,flemish,4056
326,Dylan,flemish,4054
327,Brent,flemish,4045
328,Wesley,flemish,4036
329,Tony,flemish,4028
330,Karine,flemish,4021
331,Elisa,flemish,4015
332,Jef,flemish,4009
333,Johnny,flemish,4008
334,Christiana,flemish,4006
335,Jeanne,flemish,4006
336,Elien,flemish,3987
337,Renée,flemish,3986
338,Valerie,flemish,3967
339,Camille,flemish,3956
340,Mark,flemish,3930
341,Lara,flemish,3916
342,Vince,flemish,3899
343,Quinten,flemish,3896
344,Johannes,flemish,3882
345,Britt,flemish,3876
346,Margot,flemish,3868
347,Lukas,flemish,3864
348,Carina,flemish,3848
349,Suzanne,flemish,3845
350,Erna,flemish,3814
351,Mats,flemish,3810
352,Brecht,flemish,3792
353,Claudine,flemish,3787
354,Lies,flemish,3786
355,Björn,flemish,3769
356,Daisy,flemish,3769
357,Serge,flemish,3760
358,Mireille,flemish,3742
359,Saskia,flemish,3730
360,Arno,flemish,3720
361,Catherine,flemish,3720
362,Emile,flemish,3708
363,Katleen,flemish,3702
364,Luca,flemish,3676
365,Felix,flemish,3657
366,Kenneth,flemish,3637
367,Lander,flemish,3630
368,Jordy,flemish,3621
369,Ward,flemish,3609
370,Bjorn,flemish,3603
371,Yvette,flemish,3602
372,Dorien,flemish,3602
373,Laurens,flemish,3590
374,Frieda,flemish,3589
375,Evy,flemish,3574
376,Vic,flemish,3571
377,Dennis,flemish,3560
378,Yvonne,flemish,3557
379,Lynn,flemish,3549
380,Jean-Pierre,flemish,3548
381,Mohammad,flemish,3546
382,Raf,flemish,3542
383,Kato,flemish,3538
384,Ivo,flemish,3535
385,Kimberly,flemish,3535
386,Hubert,flemish,3532
387,Kristien,flemish,3530
388,Fabienne,flemish,3507
389,Andreas,flemish,3491
390,Charles,flemish,3488
391,Anthony,flemish,3487
392,Tuur,flemish,3487
393,Axelle,flemish,3477
394,Eveline,flemish,3468
395,Raymond,flemish,3458
396,Evi,flemish,3449
397,Danielle,flemish,3446
398,Ine,flemish,3440
399,Viktor,flemish,3426
400,Franciscus,flemish,3424
401,Stef,flemish,3405
402,Gustaaf,flemish,3360
403,Tania,flemish,3347
404,Lowie,flemish,3336
405,Griet,flemish,3336
406,José,flemish,3326
407,Jill,flemish,3303
408,Christina,flemish,3300
409,Warre,flemish,3286
410,Elza,flemish,3255
411,Jimmy,flemish,3244
412,Anke,flemish,3243
413,Georgette,flemish,3237
414,Joannes,flemish,3230
415,Noël,flemish,3219
416,Mike,flemish,3196
417,Aline,flemish,3195
418,Alexandra,flemish,3185
419,Conny,flemish,3170
420,Kaat,flemish,3156
421,Antoine,flemish,3153
422,Ferre,flemish,3151
423,Pauline,flemish,3147
