rank,name,origin,frequency
1,Peeters,flemish,26903
2,Janssens,flemish,23914
3,Maes,flemish,20885
4,Jacobs,flemish,15901
5,Willems,flemish,14323
6,Mertens,flemish,14264
7,Claes,flemish,13142
8,Wouters,flemish,12925
9,Goossens,flemish,12627
10,Smet,flemish,11639
11,Vermeulen,flemish,11018
12,Pauwels,flemish,10836
13,Aerts,flemish,10705
14,Hermans,flemish,10375
15,Martens,flemish,9424
16,Michiels,flemish,8776
17,Vos,flemish,8631
18,Claeys,flemish,8503
19,Clercq,flemish,8244
20,Smets,flemish,8144
21,Damme,flemish,8127
22,Hendrickx,flemish,7887
23,Janssen,flemish,7641
24,Desmet,flemish,7525
25,Velde,flemish,7472
26,Stevens,flemish,7327
27,Segers,flemish,7191
28,Backer,flemish,7175
29,Lemmens,flemish,6949
30,Broeck,flemish,6663
31,Coppens,flemish,6437
32,Cools,flemish,6236
33,Devos,flemish,6211
34,Verhoeven,flemish,6155
35,Cock,flemish,6115
36,Smedt,flemish,5739
37,Verstraete,flemish,5439
38,Meyer,flemish,5429
39,Verheyen,flemish,5429
40,Wauters,flemish,5425
41,Baert,flemish,5308
42,Lauwers,flemish,5130
43,Wilde,flemish,5123
44,Pauw,flemish,5028
45,Geerts,flemish,4940
46,Verbeke,flemish,4925
47,Ridder,flemish,4896
48,Lenaerts,flemish,4888
49,Declercq,flemish,4875
50,Cornelis,flemish,4842
51,Vandenberghe,flemish,4766
52,Vermeiren,flemish,4761
53,Thys,flemish,4758
54,Lambrechts,flemish,4680
55,Bosmans,flemish,4672
56,Moens,flemish,4660
57,Verlinden,flemish,4636
58,Wuyts,flemish,4588
59,Verschueren,flemish,4574
60,Bogaert,flemish,4547
61,Dyck,flemish,4537
62,Timmermans,flemish,4537
63,Vermeersch,flemish,4460
64,Heylen,flemish,4440
65,Jansen,flemish,4403
66,Bogaerts,flemish,4378
67,Christiaens,flemish,4377
68,Thijs,flemish,4252
69,Verstraeten,flemish,4221
70,Bauwens,flemish,4219
71,Bossche,flemish,4188
72,Verhaeghe,flemish,4086
73,Pieters,flemish,4065
74,Goethals,flemish,4047
75,Nijs,flemish,3919
76,Hoof,flemish,3903
77,Simons,flemish,3902
78,Dierckx,flemish,3889
79,Groote,flemish,3879
80,Lievens,flemish,3877
81,Ceulemans,flemish,3867
82,Claessens,flemish,3789
83,Hecke,flemish,3784
84,Verhelst,flemish,3774
85,Acker,flemish,3763
86,Vercammen,flemish,3729
87,Luyten,flemish,3692
88,Roels,flemish,3654
89,Vervoort,flemish,3635
90,Gielen,flemish,3627
91,Coninck,flemish,3623
92,Verbruggen,flemish,3582
93,Verhaegen,flemish,3575
94,Daems,flemish,3539
95,Raes,flemish,3532
96,Somers,flemish,3531
97,Callens,flemish,3518
98,Cuypers,flemish,3507
99,Vandamme,flemish,3494
100,Winter,flemish,3475
101,Vercauteren,flemish,3440
102,Verdonck,flemish,3437
103,Witte,flemish,3389
104,Matthys,flemish,3380
105,Huysmans,flemish,3376
106,Verbeeck,flemish,3334
107,Bruyn,flemish,3313
108,Andries,flemish,3308
109,Beckers,flemish,3285
110,Vercruysse,flemish,3285
111,Bock,flemish,3281
112,Bruyne,flemish,3277
113,Hove,flemish,3259
114,Declerck,flemish,3255
115,Vanneste,flemish,3246
116,Swinnen,flemish,3237
117,Bergh,flemish,3185
118,Nys,flemish,3173
119,Vandewalle,flemish,3166
120,Wolf,flemish,3126
121,Smeets,flemish,3111
122,Verhulst,flemish,3110
123,Coster,flemish,3109
124,Smits,flemish,3089
125,Vandevelde,flemish,3078
126,Eynde,flemish,3066
127,Clerck,flemish,3064
128,Decker,flemish,3061
129,Daele,flemish,3057
130,Baeyens,flemish,3055
131,Goris,flemish,3048
132,Waele,flemish,3029
133,Geens,flemish,3020
134,Engelen,flemish,3000
135,Huybrechts,flemish,2995
136,Vanhoutte,flemish,2989
137,Dewulf,flemish,2986
138,Goethem,flemish,2971
139,Moons,flemish,2946
140,Boeck,flemish,2945
141,Keyser,flemish,2943
142,Meeus,flemish,2937
143,Vanhove,flemish,2933
144,Mariën,flemish,2920
145,Mortier,flemish,2914
146,Verheyden,flemish,2913
147,Leemans,flemish,2908
148,Jans,flemish,2903
149,Deckers,flemish,2896
150,Wit,flemish,2863
151,Dierickx,flemish,2859
152,Deprez,flemish,2808
153,Dhondt,flemish,2798
154,Vandeputte,flemish,2772
155,Camp,flemish,2750
156,Schepers,flemish,2748
157,Vandenbussche,flemish,2747
158,Coenen,flemish,2732
159,Diallo,flemish,2727
160,Dupont,flemish,2726
161,Nuyts,flemish,2713
162,Brande,flemish,2712
163,Temmerman,flemish,2704
164,Vandendriessche,flemish,2698
165,Reynders,flemish,2672
166,Sterckx,flemish,2671
167,Helsen,flemish,2650
168,Looy,flemish,2646
169,Houben,flemish,2641
170,Vandenbroucke,flemish,2641
171,Schepper,flemish,2633
172,Maertens,flemish,2632
173,Claus,flemish,2610
174,Huyghe,flemish,2600
175,Bekaert,flemish,2599
176,Vaes,flemish,2586
177,Boonen,flemish,2564
178,Vermeire,flemish,2560
179,Ooms,flemish,2555
180,Baeten,flemish,2541
181,Eeckhout,flemish,2540
182,Vandaele,flemish,2531
183,Lambrecht,flemish,2523
184,Luyckx,flemish,2519
185,Berghe,flemish,2519
186,Meert,flemish,2510
187,Bollen,flemish,2509
188,Blomme,flemish,2504
189,Bracke,flemish,2495
190,Engels,flemish,2471
191,Herck,flemish,2461
192,Torfs,flemish,2459
193,Driesen,flemish,2458
194,Moor,flemish,2438
195,Boone,flemish,2433
196,Paepe,flemish,2397
197,Moerman,flemish,2360
198,Jonghe,flemish,2346
199,Voorde,flemish,2339
200,Debruyne,flemish,2337
201,Dewaele,flemish,2335
202,Callewaert,flemish,2330
203,Block,flemish,2323
204,Laet,flemish,2320
205,Leys,flemish,2289
206,Vranken,flemish,2283
207,Vandekerckhove,flemish,2280
208,Bie,flemish,2279
209,Schepens,flemish,2262
210,Verelst,flemish,2247
211,Ali,flemish,2245
212,Everaert,flemish,2230
213,Decock,flemish,2216
214,Tanghe,flemish,2212
215,Walle,flemish,2210
216,Driessche,flemish,2203
217,Roeck,flemish,2201
218,Leysen,flemish,2193
219,Maeyer,flemish,2188
220,Verbist,flemish,2186
221,Roy,flemish,2182
222,Poppe,flemish,2170
223,Rompaey,flemish,2168
224,Bosch,flemish,2164
225,Govaerts,flemish,2157
226,Laere,flemish,2155
227,Assche,flemish,2151
228,Baets,flemish,2151
229,Baetens,flemish,2146
230,Ahmed,flemish,2138
231,Dobbelaere,flemish,2124
232,Jonckheere,flemish,2112
233,Merckx,flemish,2100
234,D'hondt,flemish,2091
235,Tack,flemish,2088
236,Bonte,flemish,2072
237,Vansteenkiste,flemish,2072
238,Viaene,flemish,2069
239,Verboven,flemish,2065
240,Looveren,flemish,2062
241,Belle,flemish,2060
242,Pattyn,flemish,2054
243,Dessel,flemish,2052
244,Decoster,flemish,2040
245,Michielsen,flemish,2037
246,Heymans,flemish,2035
247,Naessens,flemish,2029
248,Sutter,flemish,2011
249,Wellens,flemish,2002
250,Gorp,flemish,1998
251,Vandecasteele,flemish,1997
252,Thomas,flemish,1993
253,Hoste,flemish,1988
254,D'Hondt,flemish,1981
255,Lippens,flemish,1981
256,Daniels,flemish,1972
257,Philips,flemish,1955
258,Renders,flemish,1950
259,Moors,flemish,1948
260,Geeraerts,flemish,1944
261,Laenen,flemish,1944
262,Mestdagh,flemish,1929
263,Vanderstraeten,flemish,1926
264,Lambert,flemish,1921
265,Buysse,flemish,1917
266,Mahieu,flemish,1916
267,Loo,flemish,1914
268,Staelens,flemish,1914
269,Desmedt,flemish,1913
270,Dijck,flemish,1912
271,Willaert,flemish,1898
272,Greef,flemish,1893
273,Dillen,flemish,1892
274,Neve,flemish,1885
275,Smolders,flemish,1878
276,Beeck,flemish,1878
277,Graeve,flemish,1867
278,Cox,flemish,1867
279,Buelens,flemish,1864
280,Roelandt,flemish,1863
281,Bertels,flemish,1860
282,Melis,flemish,1858
283,Vuyst,flemish,1855
284,Horemans,flemish,1845
285,Proost,flemish,1838
286,Gestel,flemish,1830
287,Vrancken,flemish,1811
288,Depoorter,flemish,1804
289,Callebaut,flemish,1802
290,Demuynck,flemish,1802
291,Laureys,flemish,1778
292,Heyvaert,flemish,1777
293,Rutten,flemish,1776
294,Roose,flemish,1765
295,Joris,flemish,1762
296,Hellemans,flemish,1760
297,Rosseel,flemish,1760
298,Put,flemish,1759
299,Parmentier,flemish,1759
300,Goovaerts,flemish,1753
301,Feys,flemish,1748
302,Steyaert,flemish,1746
303,Casier,flemish,1741
304,Peters,flemish,1736
305,Lammens,flemish,1735
306,Bruggeman,flemish,1731
307,Wachter,flemish,1723
308,Celis,flemish,1720
309,Loon,flemish,1719
310,Laer,flemish,1718
311,Bah,flemish,1716
312,Vanhee,flemish,1716
313,Loos,flemish,1714
314,David,flemish,1704
315,Cuyper,flemish,1701
316,Meester,flemish,1700
317,Liekens,flemish,1696
318,Rogiers,flemish,1695
319,Gevaert,flemish,1693
320,Rycke,flemish,1687
321,Sels,flemish,1686
322,Vereecken,flemish,1674
323,Schutter,flemish,1674
324,Faes,flemish,1673
325,Samyn,flemish,1669
326,Auwera,flemish,1661
327,Heremans,flemish,1660
328,Vissers,flemish,1658
329,Buyse,flemish,1657
330,Schoofs,flemish,1656
331,Bondt,flemish,1654
332,Dewitte,flemish,1652
333,Denys,flemish,1648
334,Fransen,flemish,1642
335,Vermeir,flemish,1641
336,Depuydt,flemish,1638
337,Rombouts,flemish,1635
338,Willekens,flemish,1634
339,Timmerman,flemish,1634
340,Kaur,flemish,1630
341,François,flemish,1630
342,Degryse,flemish,1630
343,Borremans,flemish,1629
344,Raeymaekers,flemish,1618
345,Vereecke,flemish,1618
346,Ryck,flemish,1617
347,Ramaekers,flemish,1617
348,Sabbe,flemish,1616
349,Bruycker,flemish,1614
350,Adriaensen,flemish,1608
351,Bruyninckx,flemish,1596
352,Stroobants,flemish,1593
353,Bossuyt,flemish,1592
354,Colpaert,flemish,1590
355,Joos,flemish,1583
356,Dejonghe,flemish,1579
357,Belmans,flemish,1576
358,Bruneel,flemish,1567
359,Adams,flemish,1566
360,Impe,flemish,1565
361,Reynaert,flemish,1561
362,Mey,flemish,1556
363,Kerkhofs,flemish,1555
364,Sanders,flemish,1553
365,Kenis,flemish,1538
366,Mees,flemish,1535
367,Boeckx,flemish,1530
368,Knockaert,flemish,1529
369,Campenhout,flemish,1527
370,Verfaillie,flemish,1527
371,Verbiest,flemish,1525
372,Genechten,flemish,1523
373,Theunis,flemish,1517
374,Marien,flemish,1516
375,Fierens,flemish,1516
376,Deceuninck,flemish,1514
377,Pollet,flemish,1513
378,Roosen,flemish,1512
379,Herman,flemish,1510
380,Theys,flemish,1507
381,Seghers,flemish,1507
382,Vervaet,flemish,1505
383,Demeyere,flemish,1501
384,Landeghem,flemish,1499
385,Weerdt,flemish,1498
386,Vanderheyden,flemish,1497
387,Hoecke,flemish,1496
388,Devriendt,flemish,1494
389,Holvoet,flemish,1492
390,Blondeel,flemish,1489
391,Beernaert,flemish,1484
392,Geudens,flemish,1478
393,Mulder,flemish,1476
394,Breugelmans,flemish,1474
395,Huys,flemish,1473
396,Braem,flemish,1472
397,Dockx,flemish,1470
