rank,name,sex,origin,frequency
1,Mohamed,M,arabic,1728655
2,Mohammed,M,arabic,878972
3,Fatima,F,arabic,865542
4,Ahmed,M,arabic,689289
5,Khadija,F,arabic,521553
6,Youssef,M,arabic,418400
7,Said,M,arabic,381304
8,Rachid,M,arabic,367246
9,Hassan,M,arabic,349804
10,Mustapha,M,arabic,315983
11,Hicham,M,arabic,309159
12,Imane,M,arabic,289397
13,Khalid,M,arabic,285875
14,Yassine,M,arabic,270781
15,Omar,M,arabic,259016
16,Nadia,F,arabic,254348
17,Zineb,F,arabic,252274
18,Ali,M,arabic,250854
19,Abdellah,M,arabic,249462
20,Naima,F,arabic,246869
21,Amina,F,arabic,246842
22,Brahim,M,arabic,235213
23,Aicha,F,arabic,224759
24,Sara,F,arabic,220337
25,Amine,M,arabic,219818
26,Malika,F,arabic,205105
27,Hamza,M,arabic,203659
28,Abderrahim,M,arabic,202758
29,Latifa,F,arabic,202512
30,Driss,M,arabic,201775
31,Hanane,M,arabic,200601
32,Fatiha,F,arabic,193122
33,Bouchra,F,arabic,182913
34,Amal,F,arabic,176144
35,Hamid,M,arabic,173605
36,Abdelaziz,M,arabic,170685
37,Laila,F,arabic,170139
38,Ayoub,M,arabic,167818
39,Adil,M,arabic,166126
40,Meryem,F,arabic,163342
41,Souad,F,arabic,161431
42,Rachida,F,arabic,161349
43,Soukaina,F,arabic,156627
44,Mehdi,M,arabic,155726
45,Aziz,M,arabic,152505
46,Zakaria,M,arabic,151795
47,Hajar,F,arabic,149857
48,Lahcen,M,arabic,149803
49,Abdellatif,M,arabic,148738
50,Hind,F,arabic,148220
51,Karim,M,arabic,146227
52,Samira,F,arabic,145326
53,Siham,F,arabic,142542
54,Karima,F,arabic,140768
55,Jamal,M,arabic,138038
56,Younes,M,arabic,130422
57,Salma,F,arabic,128839
58,Meriem,F,arabic,127966
59,Asmaa,F,arabic,127420
60,Houda,F,arabic,126328
61,Loubna,F,arabic,121960
62,Ilham,M,arabic,118057
63,Mostafa,M,arabic,117921
64,Nabil,M,arabic,116283
65,Mina,F,arabic,115764
66,Najat,F,arabic,112489
67,Saida,F,arabic,109322
68,Jamila,F,arabic,109077
69,Soufiane,M,arabic,108367
70,Kamal,M,arabic,107193
71,Noureddine,M,arabic,105255
72,Sanaa,F,arabic,105119
73,Abdelkader,M,arabic,103317
74,Ismail,M,arabic,102880
75,Saadia,F,arabic,101079
76,Zahra,F,arabic,99414
77,Tarik,M,arabic,95619
78,Moulay,M,arabic,94063
79,Oussama,M,arabic,94063
