rank,name,origin,frequency
1,Ait,arabic,
2,Alaoui,arabic,
3,Alami,arabic,
4,Bennani,arabic,
5,Idrissi,arabic,
6,Berrada,arabic,
7,Lahlou,arabic,
8,Tazi,arabic,
9,El Idrissi,arabic,
10,Benjelloun,arabic,
11,Hassan,arabic,
12,Saidi,arabic,
13,Tahiri,arabic,
14,Aziz,arabic,
15,Mohamed,arabic,
16,Filali,arabic,
17,El Mostafa,arabic,
18,Amrani,arabic,
19,Cherkaoui,arabic,
20,Daoudi,arabic,
21,El Alaoui,arabic,
22,Naji,arabic,
23,El Mehdi,arabic,
24,Ben,arabic,
25,Bennis,arabic,
26,Karim,arabic,
27,Chakir,arabic,
28,Naciri,arabic,
29,Amine,arabic,
30,Khalil,arabic,
31,El Alami,arabic,
32,Hajji,arabic,
33,Salhi,arabic,
34,El Amrani,arabic,
35,Drissi,arabic,
36,Mansouri,arabic,
37,Said,arabic,
38,El Hassan,arabic,
39,Benkirane,arabic,
40,Sabri,arabic,
41,Sbai,arabic,
42,Bel,arabic,
43,Kadiri,arabic,
44,Hassani,arabic,
45,Benali,arabic,
46,Chraibi,arabic,
47,Rachidi,arabic,
48,Kamal,arabic,
49,Talbi,arabic,
50,Benchekroun,arabic,
51,Slimani,arabic,
52,Ayoub,arabic,
53,Rachid,arabic,
54,Belhaj,arabic,
55,Zaki,arabic,
56,Sabir,arabic,
57,Ismaili,arabic,
58,Es,arabic,
59,Bakkali,arabic,
60,Rami,arabic,
61,Fathi,arabic,
62,Abid,arabic,
63,Lotfi,arabic,
64,Ouazzani,arabic,
65,Mounir,arabic,
66,Chaoui,arabic,
67,Choukri,arabic,
68,Bensaid,arabic,
69,Saadi,arabic,
70,Marsli,arabic,
71,Tahri,arabic,
72,Yassine,arabic,
73,Dahbi,arabic,
74,El Hassane,arabic,
75,Chahid,arabic,
76,Abdo,arabic,
77,Kabbaj,arabic,
78,Benmoussa,arabic,
79,Slaoui,arabic,
80,Ahmed,arabic,
81,Moussaoui,arabic,
82,Hamdi,arabic,
83,Lamrani,arabic,
84,Radi,arabic,
85,Saber,arabic,
86,Lazrak,arabic,
87,Ziani,arabic,
88,Salmi,arabic,
89,Messaoudi,arabic,
90,Azizi,arabic,
91,Abou,arabic,
92,Hilali,arabic,
93,Zine,arabic,
94,Loukili,arabic,
95,Sadik,arabic,
96,Ali,arabic,
97,Fadil,arabic,
98,Semlali,arabic,
99,Hakim,arabic,
100,Bennouna,arabic,
101,Taleb,arabic,
102,Raji,arabic,
103,Fikri,arabic,
104,Omari,arabic,
105,Abdellaoui,arabic,
106,El Hassani,arabic,
107,Maroc,arabic,
108,Rochdi,arabic,
109,Senhaji,arabic,
110,Bouziane,arabic,
111,Hamdaoui,arabic,
112,Hafid,arabic,
113,Jabri,arabic,
114,Saad,arabic,
115,Touzani,arabic,
116,Zeroual,arabic,
117,Aarab,arabic,
118,Malki,arabic,
119,Hafidi,arabic,
120,Taha,arabic,
121,Salim,arabic,
122,Zahir,arabic,
123,Abdel,arabic,
124,Baba,arabic,
125,Jalal,arabic,
126,El Mansouri,arabic,
127,Mansour,arabic,
128,Hachimi,arabic,
129,Khalid,arabic,
130,Nour,arabic,
131,Faouzi,arabic,
132,Azzouzi,arabic,
133,Amri,arabic,
134,Fadili,arabic,
135,Badr,arabic,
136,Touil,arabic,
137,El Asri,arabic,
138,Jamal,arabic,
139,Naim,arabic,
140,Chaouki,arabic,
141,El Houssine,arabic,
142,Ait El,arabic,
143,Rais,arabic,
144,Dahmani,arabic,
145,Laaroussi,arabic,
146,Mohammed,arabic,
147,Chafik,arabic,
148,Sami,arabic,
149,Simo,arabic,
150,Hicham,arabic,
151,Nait,arabic,
152,Nassiri,arabic,
153,Lachhab,arabic,
154,Youssef,arabic,
155,Yousfi,arabic,
156,Elidrissi,arabic,
157,Nouri,arabic,
158,Moumen,arabic,
159,Rafik,arabic,
160,Amraoui,arabic,
161,Sebti,arabic,
162,Ouali,arabic,
163,Allali,arabic,
164,Rahmouni,arabic,
165,Regragui,arabic,
166,Samir,arabic,
167,Fares,arabic,
168,Benslimane,arabic,
169,Sekkat,arabic,
170,Housni,arabic,
171,Guessous,arabic,
172,Moussaid,arabic,
173,Rahmani,arabic,
174,Karam,arabic,
175,El Omari,arabic,
176,Nabil,arabic,
177,Zerouali,arabic,
178,Benbrahim,arabic,
179,Bouzid,arabic,
180,Farah,arabic,
181,Zouhair,arabic,
182,Abdou,arabic,
183,Sadiki,arabic,
184,Charaf,arabic,
185,Soussi,arabic,
186,Badri,arabic,
187,Nadir,arabic,
188,Amzil,arabic,
189,Lakhal,arabic,
190,Fahmi,arabic,
191,Hamidi,arabic,
192,Hasnaoui,arabic,
193,Bentaleb,arabic,
194,Ghazi,arabic,
195,Mabrouk,arabic,
196,Badaoui,arabic,
197,Bensouda,arabic,
198,Kettani,arabic,
199,Abbassi,arabic,
200,Id,arabic,
201,Haddad,arabic,
202,Mahfoud,arabic,
203,Jabrane,arabic,
204,Amal,arabic,
205,Wahbi,arabic,
206,Boukhari,arabic,
207,Hamid,arabic,
208,Rida,arabic,
209,Kasmi,arabic,
210,Er,arabic,
211,Aissaoui,arabic,
212,El Hilali,arabic,
213,El Mahdi,arabic,
214,Allaoui,arabic,
215,Bouayad,arabic,
216,Benomar,arabic,
217,Maarouf,arabic,
218,El Bakkali,arabic,
219,Sadki,arabic,
220,Ibrahimi,arabic,
221,Najib,arabic,
222,Faiz,arabic,
223,Hanafi,arabic,
224,Toumi,arabic,
225,Bouzidi,arabic,
226,Kaddouri,arabic,
227,Mokhtari,arabic,
228,Taibi,arabic,
229,Taki,arabic,
230,Moumni,arabic,
231,Belghiti,arabic,
232,Karimi,arabic,
233,Hamzaoui,arabic,
234,Adil,arabic,
235,El Filali,arabic,
236,Nejjar,arabic,
237,Tijani,arabic,
238,Yacoubi,arabic,
239,Hilal,arabic,
240,Mehdi,arabic,
241,Mouhib,arabic,
242,Taoufik,arabic,
243,Lachgar,arabic,
244,Mekkaoui,arabic,
245,El Amri,arabic,
246,Hamza,arabic,
247,Chadli,arabic,
248,Chami,arabic,
249,Mourad,arabic,
250,Boutaleb,arabic,
251,Meziane,arabic,
252,Zaoui,arabic,
253,Benamar,arabic,
254,Saoud,arabic,
255,Khaldi,arabic,
256,Ouardi,arabic,
257,Adnane,arabic,
258,Ramzi,arabic,
259,Diouri,arabic,
260,Barakat,arabic,
261,El Bachir,arabic,
262,El Mustapha,arabic,
263,Zitouni,arabic,
264,Atif,arabic,
265,Reda,arabic,
266,Anouar,arabic,
267,Mahboub,arabic,
268,Benani,arabic,
269,Fakir,arabic,
