rank,name,sex,origin,frequency
1,﻿Mehmet,M,turkish,
2,Fatma,F,turkish,
3,Mustafa,M,turkish,
4,Ayşe,F,turkish,
5,Ahmet,M,turkish,
6,Ali,M,turkish,
7,Emine,F,turkish,
8,Hatice,F,turkish,
9,Hasan,M,turkish,
10,Hüseyin,M,turkish,
11,Ibrahim,M,turkish,
12,Murat,M,turkish,
13,Ismail,M,turkish,
14,Zeynep,F,turkish,
15,Ömer,M,turkish,
16,Osman,M,turkish,
17,Ramazan,M,turkish,
18,Halil,M,turkish,
19,Yusuf,M,turkish,
20,Elif,F,turkish,
21,Meryem,F,turkish,
22,Abdullah,M,turkish,
23,Süleyman,M,turkish,
24,Fatih,M,turkish,
25,Sultan,M,turkish,
26,Özlem,F,turkish,
27,Mahmut,M,turkish,
28,Hülya,F,turkish,
29,Recep,M,turkish,
30,Yasemin,F,turkish,
31,Hakan,M,turkish,
32,Sevim,F,turkish,
33,Yaşar,M,turkish,
34,Şerife,F,turkish,
35,Dilek,F,turkish,
36,Adem,M,turkish,
37,Aysel,F,turkish,
38,Fadime,F,turkish,
39,Metin,M,turkish,
40,Leyla,F,turkish,
41,Zehra,F,turkish,
42,Kemal,M,turkish,
43,Hacer,F,turkish,
44,Hanife,F,turkish,
45,Havva,F,turkish,
46,Songül,F,turkish,
47,Kadir,M,turkish,
48,Salih,M,turkish,
49,Esra,F,turkish,
50,Orhan,M,turkish,
51,Aynur,F,turkish,
52,Zeliha,F,turkish,
53,Merve,F,turkish,
54,Serkan,M,turkish,
55,Filiz,F,turkish,
56,Melek,F,turkish,
57,Gökhan,M,turkish,
58,Bayram,M,turkish,
59,Cemile,F,turkish,
60,Sevgi,F,turkish,
61,Sibel,F,turkish,
62,Kadriye,F,turkish,
63,Selma,F,turkish,
64,Uğur,M,turkish,
65,Ayten,F,turkish,
66,Derya,M,turkish,
67,Yunus,M,turkish,
68,Ayhan,M,turkish,
69,Muhammet,M,turkish,
70,Emre,M,turkish,
71,Semra,F,turkish,
72,Tuğba,F,turkish,
73,Halime,F,turkish,
74,Yılmaz,M,turkish,
75,Bekir,M,turkish,
76,Arzu,F,turkish,
77,Musa,M,turkish,
78,Türkan,F,turkish,
79,Erkan,M,turkish,
80,Ebru,F,turkish,
81,Şükran,F,turkish,
82,Gülsüm,F,turkish,
83,Hayriye,F,turkish,
84,Serpil,F,turkish,
85,Mesut,M,turkish,
86,Yüksel,M,turkish,
87,Haci,M,turkish,
88,Bülent,M,turkish,
89,Gülşen,F,turkish,
90,Nurcan,F,turkish,
91,Ercan,M,turkish,
92,Nuray,M,turkish,
93,Sinan,M,turkish,
94,Erol,M,turkish,
