rank,name,origin,frequency
1,Yılmaz,turkish,
2,Kaya,turkish,
3,Demir,turkish,
4,Çelik,turkish,
5,Şahin,turkish,
6,Yıldız,turkish,
7,Yıldırım,turkish,
8,Öztürk,turkish,
9,Aydın,turkish,
10,Özdemir,turkish,
11,Arslan,turkish,
12,Doğan,turkish,
13,Kılıç,turkish,
14,Aslan,turkish,
15,Çetin,turkish,
16,Kara,turkish,
17,Koç,turkish,
18,Kurt,turkish,
19,Özkan,turkish,
20,Acar,turkish,
21,Polat,turkish,
22,Şimşek,turkish,
23,Korkmaz,turkish,
24,Özcan,turkish,
25,Erdoğan,turkish,
26,Çakir,turkish,
27,Yavuz,turkish,
28,Can,turkish,
29,Şen,turkish,
30,Yalçın,turkish,
31,Güler,turkish,
32,Aktaş,turkish,
33,Güneş,turkish,
34,Bozkurt,turkish,
35,Bulut,turkish,
36,Işık,turkish,
37,Turan,turkish,
38,Keskin,turkish,
39,Avci,turkish,
40,Ünal,turkish,
41,Gül,turkish,
42,Coşkun,turkish,
43,Özer,turkish,
44,Kaplan,turkish,
45,Sari,turkish,
46,Tekin,turkish,
47,Taş,turkish,
48,Yüksel,turkish,
49,Köse,turkish,
50,Ateş,turkish,
51,Aksoy,turkish,
52,Yiğit,turkish,
53,Karataş,turkish,
54,Uzun,turkish,
55,Ceylan,turkish,
56,Karaca,turkish,
57,Çiftçi,turkish,
58,Çiçek,turkish,
59,Çoban,turkish,
60,Çalişkan,turkish,
61,Yaşar,turkish,
62,Demirci,turkish,
63,Bayram,turkish,
64,Deniz,turkish,
65,Çakmak,turkish,
66,Güngör,turkish,
67,Uçar,turkish,
68,Erdem,turkish,
69,Kahraman,turkish,
70,Uysal,turkish,
71,Genç,turkish,
72,Çinar,turkish,
73,Duman,turkish,
74,Akın,turkish,
75,Sönmez,turkish,
76,Demirel,turkish,
77,Ay,turkish,
78,Kilinç,turkish,
79,Koçak,turkish,
80,Mutlu,turkish,
81,Küçük,turkish,
82,Çetinkaya,turkish,
83,Yaman,turkish,
84,Altun,turkish,
85,Gündüz,turkish,
86,Gümüş,turkish,
87,Öz,turkish,
88,Eren,turkish,
89,Aydemir,turkish,
90,Çolak,turkish,
91,Tunç,turkish,
92,Karakaya,turkish,
93,Güven,turkish,
94,Kartal,turkish,
95,Gök,turkish,
96,Karaman,turkish,
97,Dönmez,turkish,
98,Erol,turkish,
99,Aksu,turkish,
100,Alkan,turkish,
101,Tosun,turkish,
102,Özen,turkish,
103,Türk,turkish,
104,Balci,turkish,
105,Sağlam,turkish,
106,Karakuş,turkish,
107,Cengiz,turkish,
108,Çevik,turkish,
109,Güzel,turkish,
110,Karabulut,turkish,
111,Akbaş,turkish,
112,Keleş,turkish,
113,Duran,turkish,
114,Durmuş,turkish,
115,Ince,turkish,
116,Baş,turkish,
117,Eroğlu,turkish,
118,Akkaya,turkish,
119,Akbulut,turkish,
120,Demirtaş,turkish,
121,Durmaz,turkish,
122,Akgün,turkish,
123,Yücel,turkish,
124,Uslu,turkish,
125,Dursun,turkish,
126,Aydoğan,turkish,
127,Yazici,turkish,
128,Özçelik,turkish,
129,Er,turkish,
130,Çelebi,turkish,
131,Koca,turkish,
132,Karagöz,turkish,
133,Ünlü,turkish,
134,Ekinci,turkish,
135,Karakaş,turkish,
136,Gürbüz,turkish,
137,Toprak,turkish,
138,Akgül,turkish,
139,Türkmen,turkish,
140,Topal,turkish,
141,Dinç,turkish,
142,Gültekin,turkish,
143,Dağ,turkish,
144,Topçu,turkish,
145,Sarıkaya,turkish,
146,Şentürk,turkish,
147,Vural,turkish,
148,Zengin,turkish,
149,Özmen,turkish,
150,Ergün,turkish,
151,Şeker,turkish,
152,Gündoğdu,turkish,
153,Bilgin,turkish,
154,Ilhan,turkish,
155,Bal,turkish,
156,Gökçe,turkish,
157,Fidan,turkish,
158,Sezer,turkish,
159,Güney,turkish,
160,Albayrak,turkish,
161,Güner,turkish,
162,Bektaş,turkish,
163,Akyol,turkish,
164,Oğuz,turkish,
165,Inan,turkish,
166,Karadağ,turkish,
167,Bayrak,turkish,
168,Turgut,turkish,
169,Orhan,turkish,
170,Akar,turkish,
171,Aydoğdu,turkish,
172,Taşkın,turkish,
173,Kalkan,turkish,
174,Özel,turkish,
175,Ak,turkish,
176,Ercan,turkish,
177,Akyüz,turkish,
178,Ipek,turkish,
179,Uğur,turkish,
180,Esen,turkish,
181,Akkuş,turkish,
182,Günay,turkish,
183,Bayraktar,turkish,
184,Taşdemir,turkish,
185,Budak,turkish,
186,Akpınar,turkish,
187,Açıkgöz,turkish,
188,Aygün,turkish,
189,Özbek,turkish,
190,Öner,turkish,
191,Temel,turkish,
192,Ersoy,turkish,
193,Ayhan,turkish,
194,Efe,turkish,
195,Çam,turkish,
196,Ari,turkish,
197,Şener,turkish,
198,Sevinç,turkish,
199,Çağlar,turkish,
200,Ergin,turkish,
201,Tuncer,turkish,
202,Ertürk,turkish,
203,Baran,turkish,
204,Sert,turkish,
205,Akdemir,turkish,
206,Ayaz,turkish,
207,Gür,turkish,
208,Koyuncu,turkish,
209,Akçay,turkish,
210,Kaçar,turkish,
211,Aras,turkish,
212,Altıntaş,turkish,
213,Akça,turkish,
214,Başaran,turkish,
215,Karakoç,turkish,
216,Tan,turkish,
217,Şengül,turkish,
218,Gezer,turkish,
219,Akdağ,turkish,
220,Karadeniz,turkish,
221,Atalay,turkish,
222,Bakir,turkish,
223,Altin,turkish,
224,Çimen,turkish,
225,Biçer,turkish,
226,Karahan,turkish,
227,Akman,turkish,
228,Akdeniz,turkish,
229,Turhan,turkish,
230,Dündar,turkish,
231,Gün,turkish,
232,Oruç,turkish,
233,Sezgin,turkish,
234,Mert,turkish,
235,Kandemir,turkish,
236,Kuş,turkish,
237,Bingöl,turkish,
238,Usta,turkish,
239,Bolat,turkish,
240,Bülbül,turkish,
241,Taşçi,turkish,
242,Yüce,turkish,
243,Pehlivan,turkish,
244,Fırat,turkish,
245,Tuna,turkish,
246,Önal,turkish,
247,Çakar,turkish,
248,Metin,turkish,
249,Dinçer,turkish,
250,Yeşil,turkish,
251,Savaş,turkish,
252,Uyar,turkish,
253,Altuntaş,turkish,
254,Ekici,turkish,
255,Arıkan,turkish,
256,Atmaca,turkish,
257,Akdoğan,turkish,
258,Altay,turkish,
259,Sevim,turkish,
260,Erkan,turkish,
261,Kutlu,turkish,
262,Doğru,turkish,
263,Yalçınkaya,turkish,
264,Özkaya,turkish,
265,Önder,turkish,
266,Demirbaş,turkish,
267,Öksüz,turkish,
268,Ataş,turkish,
269,Boz,turkish,
270,Durak,turkish,
271,Eser,turkish,
272,Eker,turkish,
273,Kuru,turkish,
274,Oral,turkish,
275,Varol,turkish,
276,Demircan,turkish,
277,Parlak,turkish,
278,Ölmez,turkish,
279,Gedik,turkish,
280,Güçlü,turkish,
281,Köksal,turkish,
282,Akay,turkish,
283,Adıgüzel,turkish,
284,Türkoğlu,turkish,
285,Göktaş,turkish,
286,Soylu,turkish,
